study;n1_os;n2_os;n3_os;n4_os;n1_rs1;n2_rs1;n3_rs1;n4_rs1;n1_rs2;n2_rs2;n3_rs2;n4_rs2;n1_rp;n2_rp;n3_rp;n4_rp
1;26;28;;;130;129;;;296;303;;;296;303;;
2;;;;;;;;;;;;;;;;
3;36;36;;;120;123;;;;;;;120;123;;
4;15;12;12;12;17;16;16;16;;;;;17;16;16;16
5;;;;;;;;;;;;;;;;
6;31;26;;;113;111;;;269;262;;;269;262;;
7;87;91;;;205;202;;;;;;;205;202;;
8;20;20;;;11;11;;;;;;;11;11;;
9;48;15;;;33;9;;;;;;;33;9;;
10;20;20;;;23;26;;;;;;;23;26;;
11;43;43;;;143;142;;;349;365;;;349;365;;
12;;;;;;;;;;;;;;;;
13;21;19;;;63;60;;;147;139;;;147;139;;
14;16;16;;;44;45;;;;;;;44;45;;
15;100;100;;;240;240;;;;;;;240;240;;
16;18;18;;;71;61;;;156;150;;;156;150;;
17;10;10;;;13;13;;;45;34;;;45;34;;
18;175;168;;;496;518;;;1058;1078;;;1058;1078;;
19;26;30;;;133;145;;;298;321;;;298;321;;
20;;;;;;;;;;;;;;;;
21;15;15;;;20;19;;;;;;;20;19;;
